Guid,Model,Success,Timestamp,Message,Network,Charging,Position_X,Position_Y,Availability
0,CPH1909,False,0 days 12:59:14,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 12:59:14,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 12:59:14,69.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 13:02:43,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 13:02:53,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 13:43:12,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 13:43:12,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 13:43:12,64.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 13:44:19,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 13:44:29,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 13:46:40,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 13:46:40,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 13:46:40,63.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 14:37:01,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 14:37:01,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 14:37:01,62.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 14:38:54,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 14:38:54,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 15:46:48,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 15:46:48,battery_charged_on,fix,In charge,19,62,Available
0,CPH1909,False,0 days 15:46:48,61.0%,fix,In charge,19,62,Available
0,CPH1909,False,0 days 15:46:58,screen_unlock,fix,In charge,19,62,Available
0,CPH1909,False,0 days 15:47:24,screen_off,fix,In charge,19,62,Available
0,CPH1909,False,0 days 16:15:27,screen_on,fix,In charge,19,62,Available
0,CPH1909,False,0 days 16:15:27,screen_lock,fix,In charge,19,62,Available
0,CPH1909,False,0 days 16:15:27,battery_charged_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 16:15:27,71.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 16:15:29,battery_charged_on,fix,In charge,19,62,Available
0,CPH1909,False,0 days 16:15:30,screen_unlock,fix,In charge,19,62,Available
0,CPH1909,False,0 days 16:15:31,battery_charged_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 16:30:32,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 16:30:32,69.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 16:31:36,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 16:31:36,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 16:31:46,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 17:20:30,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 17:20:30,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 17:20:30,63.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 17:26:08,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 17:26:08,62.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 17:26:18,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 17:31:36,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 17:31:36,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 17:31:48,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 17:31:58,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 18:03:00,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 18:03:00,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 18:03:00,57.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 18:06:59,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 18:07:09,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 18:35:46,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 18:35:46,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 18:35:46,53.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 19:12:56,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 19:13:06,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 19:14:21,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 19:14:21,52.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 19:15:41,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 19:15:41,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 19:15:51,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 20:12:46,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 20:12:46,43.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 20:12:48,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 20:13:11,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 20:13:11,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 20:22:09,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 20:22:19,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 20:22:56,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 20:24:19,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 20:24:19,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 20:24:29,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 20:36:28,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 20:36:28,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 20:36:28,41.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 20:54:48,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 20:54:48,40.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 20:54:58,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 20:55:09,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 20:55:09,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 20:57:58,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 20:58:08,screen_unlock,fix,Not in charge,19,62,Not available
