Dataset,Batch Size,Device,Nbr Epoch,Training Time,Training Energy,Training Carbon,Accuracy,CPU Energy,GPU Energy,RAM Energy
FashionMNIST,10,cuda,1,28.510854244232178,0.0010281998753651,5.655099314508508e-05,87.39,0.0004566475692066,0.0004791408263752,9.241147978330856e-05
FashionMNIST,10,cuda,1,26.881540536880493,0.0009789790840593,5.384384962326567e-05,87.54,0.0004335482279494,0.0004583013803866,8.712947572334655e-05
FashionMNIST,10,cuda,1,27.594868421554565,0.0010014201083719,5.507810596045695e-05,87.63,0.0004443964446835,0.0004675820638468,8.944159984155174e-05
FashionMNIST,10,cuda,1,26.18666982650757,0.0009502964470992,5.2266304590459473e-05,88.08,0.0004239391072065,0.0004414800486448,8.487729124788378e-05
FashionMNIST,10,cuda,1,27.752086639404297,0.0010077813947914,5.542797671352897e-05,87.61,0.0004453716496303,0.0004724584829449,8.995126221609998e-05
FashionMNIST,10,cuda,1,26.82168412208557,0.0009649062965677,5.306984631122521e-05,88.19,0.0004221579007816,0.0004558130763483,8.693531943781429e-05
FashionMNIST,10,cuda,1,26.60060143470764,0.0009613416960797,5.2873793284388e-05,87.22,0.0004273488810454,0.0004477736718623,8.621914317193321e-05
FashionMNIST,10,cuda,1,26.237411737442017,0.0009510542916084,5.230798603846659e-05,87.08,0.0004235310710467,0.000442481677167,8.504154339466699e-05
FashionMNIST,10,cuda,1,25.7001268863678,0.0009362660343808,5.149463189094759e-05,87.83,0.0004155531624422,0.0004374125918567,8.33002800818871e-05
FashionMNIST,10,cuda,1,26.13744425773621,0.0009575022923447,5.266262607896204e-05,87.67,0.0004298949919712,0.000442889213756,8.471808661742681e-05
FashionMNIST,10,cuda,1,26.580054998397827,0.0009681569411652,5.324863176408831e-05,85.09,0.0004302615580978,0.0004517432964434,8.615208662389923e-05
FashionMNIST,10,cuda,1,25.82298398017884,0.000940039135284,5.170215244062152e-05,87.76,0.0004167224414332,0.0004396182549864,8.369843886437678e-05
FashionMNIST,10,cuda,1,27.02215337753296,0.0009772321631278,5.374776897203079e-05,88.42,0.0004361220588973,0.0004535246272893,8.758547694109097e-05
FashionMNIST,10,cuda,1,26.49869179725647,0.000962205012644,5.292127569542257e-05,86.52,0.0004281187194391,0.0004481976626692,8.588863053560317e-05
FashionMNIST,10,cuda,1,26.45387291908264,0.0009493351693403,5.22134343137204e-05,88.42,0.0004174672556401,0.0004461257909578,8.57421227423716e-05
FashionMNIST,10,cuda,1,27.26195907592773,0.001002999560128,5.516497580704029e-05,84.58,0.0004499408007856,0.0004646974809964,8.836127834586497e-05
FashionMNIST,10,cuda,1,27.73024725914001,0.0010065706838312,5.536138761071691e-05,87.9,0.0004447223721665,0.000471968331321,8.987998034362145e-05
FashionMNIST,10,cuda,1,25.97354340553284,0.00094367462047,5.190210412585084e-05,87.95,0.0004193823491167,0.0004401055471032,8.418672425000144e-05
