Dataset,Batch Size,Device,Nbr Epoch,Training Time,Training Energy,Training Carbon,Accuracy,CPU Energy,GPU Energy,RAM Energy
CIFAR-10,10,cuda,1,22.6523666381836,0.0007987731119155,4.393252115535752e-05,52.23,0.000366192999343,0.0003591592453221,7.342086725038911e-05
CIFAR-10,10,cuda,1,22.41421246528625,0.000788192233183,4.3350572825066254e-05,51.9,0.0003552203050093,0.000360322101497,7.264982667661418e-05
CIFAR-10,10,cuda,1,23.514982223510746,0.0008388259562027,4.613542759115222e-05,49.95,0.0003816095716762,0.0003809991615491,7.621722297732864e-05
CIFAR-10,10,cuda,1,22.64360380172729,0.0008063015617555,4.434658589655374e-05,52.77,0.00036407116709,0.0003688375901222,7.339280454326978e-05
CIFAR-10,10,cuda,1,23.98610830307007,0.0008523643147896,4.6880037313430135e-05,51.17,0.0003827038278294,0.0003919165819328,7.774390502730511e-05
CIFAR-10,10,cuda,1,22.114660024642944,0.0007850099281578,4.31755460486812e-05,51.86,0.0003501704687472,0.0003631607904844,7.167866892616483e-05
CIFAR-10,10,cuda,1,22.67605137825012,0.0008095204854343,4.452362669888936e-05,49.77,0.0003631224449421,0.0003729000193428,7.349802114928574e-05
CIFAR-10,10,cuda,1,22.592875957489014,0.0008087927481872,4.4483601150296006e-05,49.32,0.0003626715318036,0.0003728930418552,7.322817452822515e-05
CIFAR-10,10,cuda,1,23.771388292312626,0.0008620347900914,4.741191345502827e-05,50.33,0.0003927503328111,0.0003922366914554,7.704776582485626e-05
CIFAR-10,10,cuda,1,22.765353441238403,0.0008152610615565,4.483935838560751e-05,50.04,0.0003669060588023,0.0003745670786019,7.378792415219683e-05
CIFAR-10,10,cuda,1,22.8015251159668,0.0008139353112222,4.476644211722136e-05,51.67,0.0003637723157398,0.0003762579259872,7.390506949512769e-05
CIFAR-10,10,cuda,1,22.29694628715515,0.00079713166585,4.384224162175418e-05,50.74,0.0003555835144666,0.000369279090731,7.226906065246358e-05
CIFAR-10,10,cuda,1,22.79878807067871,0.0008133188884048,4.473253886226831e-05,51.68,0.0003637588710068,0.0003756644224279,7.389559497007013e-05
CIFAR-10,10,cuda,1,23.60762667655945,0.0008488960972631,4.668928534947385e-05,51.05,0.0003820566192561,0.0003903223705863,7.651710742059274e-05
CIFAR-10,10,cuda,1,22.75143051147461,0.0008182741036343,4.500507569988685e-05,49.65,0.0003689955593628,0.0003755361350854,7.374240918601013e-05
CIFAR-10,10,cuda,1,22.814000129699707,0.0008200882901783,4.510485595981084e-05,51.52,0.0003683565735739,0.0003777866688018,7.39450478026375e-05
CIFAR-10,10,cuda,1,23.367509365081787,0.0008381425090358,4.609783799696943e-05,51.35,0.0003768173028424,0.0003855864177537,7.573878843954949e-05
CIFAR-10,10,cuda,1,22.803194522857662,0.0008182816515179,4.5005490833489074e-05,49.82,0.0003679794277166,0.0003763922257913,7.390999800999737e-05
CIFAR-10,10,cuda,1,21.99794340133667,0.0007895543224879,4.34254877368348e-05,50.06,0.0003558506613469,0.0003624025328358,7.1301128305129e-05
CIFAR-10,10,cuda,1,22.433056354522705,0.0008057678245221,4.4317230348718286e-05,50.26,0.0003628207452563,0.0003702368400315,7.271023923423588e-05
CIFAR-10,10,cuda,1,22.09778571128845,0.0007935785147451,4.364681831098306e-05,49.4,0.0003578944032597,0.0003640603509131,7.162376057227732e-05
CIFAR-10,10,cuda,1,23.09936738014221,0.0008274585782066,4.551022180136586e-05,51.17,0.0003713188756659,0.0003812699199194,7.486978262124135e-05
CIFAR-10,10,cuda,1,22.31060528755188,0.0007942086241277,4.368147432702504e-05,50.45,0.0003532092509005,0.0003686851569311,7.231421629607042e-05
CIFAR-10,10,cuda,1,24.05135178565979,0.0008696915765514,4.783303671033051e-05,51.56,0.0003947570296942,0.0003969788756469,7.795567121019786e-05
CIFAR-10,10,cuda,1,23.18130588531494,0.000829495839337,4.562227116353612e-05,51.56,0.0003730514401075,0.0003813090532668,7.513534596260256e-05
CIFAR-10,10,cuda,1,22.882297039031982,0.0008206531275535,4.513592201544552e-05,50.04,0.0003693941694039,0.0003770924911367,7.416646701277263e-05
CIFAR-10,10,cuda,1,22.74626302719116,0.0008100087948986,4.4550483719428064e-05,51.38,0.00036099754352,0.0003752851538923,7.372609748635757e-05
CIFAR-10,10,cuda,1,22.30322575569153,0.0007937962429812,4.365879336397131e-05,51.65,0.0003527973661265,0.0003687090450389,7.228983181579016e-05
CIFAR-10,10,cuda,1,22.5556218624115,0.0008084405358406,4.446422947123319e-05,50.46,0.0003631854297147,0.0003721475032552,7.310760287062948e-05
CIFAR-10,10,cuda,1,23.03668069839477,0.0008262833284052,4.544558306228759e-05,51.62,0.0003713738751544,0.0003802428911169,7.466656213385562e-05
CIFAR-10,10,cuda,1,22.403105974197388,0.0008041620499965,4.4228912749812686e-05,51.26,0.0003618985906297,0.0003696501738647,7.261328550208343e-05
CIFAR-10,10,cuda,1,21.997112035751343,0.0007829724354938,4.306348395216131e-05,50.93,0.000348005080626,0.0003636695462396,7.129780862813306e-05
CIFAR-10,10,cuda,1,22.87602591514588,0.0008206269054283,4.513447979856055e-05,49.03,0.0003684367666936,0.0003780439946979,7.414614403674998e-05
CIFAR-10,10,cuda,1,23.480758905410767,0.0008397807717158,4.618794244437266e-05,49.6,0.0003767028621953,0.0003869719853599,7.610592416050376e-05
CIFAR-10,10,cuda,1,22.250054121017456,0.000791013024863,4.350571636746932e-05,50.2,0.0003517580922395,0.0003671367426358,7.211818998764935e-05
CIFAR-10,10,cuda,1,22.317168951034542,0.0008000205010714,4.400112755893092e-05,51.08,0.0003593293713521,0.0003683566375841,7.233449213515248e-05
CIFAR-10,10,cuda,1,22.98521041870117,0.0008229500908668,4.526225499767512e-05,50.98,0.0003698032397312,0.0003786468624496,7.449998868593279e-05
CIFAR-10,10,cuda,1,23.82624292373657,0.0008556443851544,4.7060441183492734e-05,51.59,0.0003857497483217,0.0003926685480978,7.722608873477241e-05
CIFAR-10,10,cuda,1,22.813267469406128,0.0008188368524408,4.503602688424509e-05,51.09,0.0003684367330824,0.0003764572019908,7.39429173674704e-05
CIFAR-10,10,cuda,1,22.37348246574402,0.0008042760635899,4.42351834974496e-05,51.19,0.0003618890114554,0.0003698698286264,7.251722350811841e-05
CIFAR-10,10,cuda,1,23.74110722541809,0.0008538308085438,4.6960694469909575e-05,51.95,0.000385745916652,0.0003911350039921,7.694988789957365e-05
CIFAR-10,10,cuda,1,23.40851140022278,0.0008402687185981,4.621477952289797e-05,52.95,0.0003774890103243,0.0003869077626135,7.587194566028132e-05
CIFAR-10,10,cuda,1,24.186753034591675,0.0008650923812451,4.758008096848355e-05,52.41,0.0003888244566148,0.0003978739896012,7.839393502902122e-05
CIFAR-10,10,cuda,1,23.15086150169373,0.0008321022498897,4.576562374393693e-05,48.11,0.0003744604342903,0.0003826048846141,7.503693098529197e-05
CIFAR-10,10,cuda,1,22.82556939125061,0.0008197697828328,4.508733805580908e-05,51.03,0.000369032180781,0.0003767550695631,7.398253248871669e-05
CIFAR-10,10,cuda,1,24.67724251747132,0.000886841475958,4.877628117769186e-05,52.41,0.0003990593561916,0.0004077980007282,7.998411903806953e-05
CIFAR-10,10,cuda,1,22.30580711364746,0.0007912034842038,4.351619163121403e-05,51.77,0.0003518934542923,0.0003670089941859,7.230103572565147e-05
CIFAR-10,10,cuda,1,22.439085721969604,0.0007979230937274,4.388577015500792e-05,50.21,0.0003537354921548,0.000371457201637,7.273039993554505e-05
CIFAR-10,10,cuda,1,22.26156783103943,0.0007914154210704,4.352784815887404e-05,52.1,0.0003524121166516,0.0003668482626163,7.215504180234594e-05
CIFAR-10,10,cuda,1,22.02634191513061,0.0007837185023427,4.310451762885256e-05,51.13,0.0003488641321466,0.0003634617444529,7.13926257432246e-05
CIFAR-10,10,cuda,1,22.806462287902832,0.000817313785105,4.495225818077839e-05,51.45,0.0003663533014157,0.0003770398790949,7.392060459436568e-05
CIFAR-10,10,cuda,1,24.864124059677124,0.0008886083982259,4.88734619024279e-05,51.03,0.0003984043484454,0.0004096142944659,8.058975531459547e-05
CIFAR-10,10,cuda,1,22.67469024658203,0.0008125300860778,4.468915473428358e-05,49.22,0.0003647745451527,0.0003742621701055,7.349337081963919e-05
CIFAR-10,10,cuda,1,22.545647859573364,0.0008110344743089,4.460689608699213e-05,52.19,0.0003641590238269,0.000373800056051,7.307539443094887e-05
CIFAR-10,10,cuda,1,22.976274490356445,0.0008295639848999,4.562601916949742e-05,51.89,0.0003746560347245,0.0003804371709378,7.447077923750479e-05
CIFAR-10,10,cuda,1,22.363962650299072,0.0008043423988352,4.423883193593927e-05,52.62,0.0003628444472197,0.0003690113431639,7.248660845157692e-05
CIFAR-10,10,cuda,1,22.44558072090149,0.0008060669398462,4.4333681691544654e-05,51.18,0.0003622277728375,0.0003710882060942,7.275096091448082e-05
CIFAR-10,10,cuda,1,22.215824842453003,0.0007969310326429,4.383120679536188e-05,51.09,0.0003583140869288,0.0003666106789145,7.20062667995459e-05
CIFAR-10,10,cuda,1,22.2999849319458,0.0008020618505677,4.411340178122546e-05,51.47,0.0003617846583163,0.0003679981748861,7.227901736524122e-05
CIFAR-10,10,cuda,1,22.525714635849,0.0008100310156061,4.455170585833991e-05,52.36,0.0003653167569753,0.0003717035754919,7.301068313889317e-05
CIFAR-10,10,cuda,1,23.086870670318604,0.0008276363221049,4.551999771577161e-05,47.66,0.000371824839404,0.0003809821227107,7.482935999011129e-05
CIFAR-10,10,cuda,1,23.2336061000824,0.0008355515747037,4.595533660870879e-05,50.87,0.0003774540850185,0.0003827899470694,7.530754261571616e-05
CIFAR-10,10,cuda,1,22.800641536712646,0.0008183410548823,4.500875801853026e-05,51.37,0.0003687487066654,0.000375690747537,7.390160067994269e-05
CIFAR-10,10,cuda,1,22.362422227859497,0.0007938364063281,4.366100234805047e-05,51.3,0.000354112739401,0.0003672385877215,7.248507920558646e-05
CIFAR-10,10,cuda,1,24.19641637802124,0.0008781393472067,4.829766409636885e-05,51.06,0.000399065205363,0.0004006483870615,7.842575478212619e-05
CIFAR-10,10,cuda,1,22.772584915161133,0.0008168136840272,4.492475262149611e-05,48.16,0.0003671741892946,0.0003758286542998,7.381084043268838e-05
CIFAR-10,10,cuda,1,23.172192811965942,0.0008332125414235,4.58266897782956e-05,50.75,0.0003744035700781,0.0003837031856536,7.510578569169876e-05
CIFAR-10,10,cuda,1,22.74937891960144,0.0008168501117243,4.4926756144840375e-05,50.61,0.0003677762656096,0.0003753381612837,7.373568483097784e-05
