Dataset,Batch Size,Device,Nbr Epoch,Training Time,Training Energy,Training Carbon,Accuracy,CPU Energy,GPU Energy,RAM Energy
MNIST,10,cuda,1,21.90162754058838,0.0007915162648336,4.353339456585129e-05,98.56,0.0003557180629075,0.0003648069595957,7.099124233035686e-05
MNIST,10,cuda,1,22.74839448928833,0.0008192689673852,4.505979320618864e-05,98.65,0.0003672859507729,0.0003782495155353,7.373350107697632e-05
MNIST,10,cuda,1,22.132198333740234,0.0007905993594259,4.3482964768427394e-05,98.58,0.0003495865160578,0.0003692771395165,7.173570385153577e-05
MNIST,10,cuda,1,21.64099621772766,0.0007792116982241,4.285664340232582e-05,98.54,0.0003492102177012,0.0003598571460584,7.014433446434225e-05
MNIST,10,cuda,1,23.23947310447693,0.0008359138097897,4.5975259538438334e-05,98.59,0.0003753616339001,0.0003852268085557,7.532536733388781e-05
MNIST,10,cuda,1,22.48822569847107,0.0008087924417805,4.4483584297931146e-05,98.65,0.000363752598224,0.000372149579846,7.28902637104335e-05
MNIST,10,cuda,1,24.550652742385864,0.0008846518199876,4.865585009932069e-05,98.73,0.0003988405626833,0.0004062352066246,7.95760506797428e-05
MNIST,10,cuda,1,23.92428064346313,0.0008591722531927,4.7254473925599664e-05,98.48,0.0003849972538308,0.0003966302123626,7.754478699922373e-05
MNIST,10,cuda,1,22.20239019393921,0.0007999368605511,4.399652733031362e-05,98.57,0.0003593982900184,0.0003685745052042,7.196406532846131e-05
MNIST,10,cuda,1,22.222718000411987,0.0008022079139389,4.412143526664432e-05,98.53,0.000358290825799,0.0003718876121926,7.202947594725846e-05
MNIST,10,cuda,1,23.09573650360108,0.0008273520940766,4.550436517421503e-05,98.72,0.0003690631899725,0.0003834293726083,7.485953149576924e-05
MNIST,10,cuda,1,22.94433093070984,0.0008258687293211,4.5422780112664e-05,98.51,0.0003711969922351,0.0003803030719165,7.436866516946339e-05
MNIST,10,cuda,1,23.82377505302429,0.0008576304398897,4.716967419393839e-05,98.56,0.000384181198178,0.0003962299151961,7.721932651564031e-05
MNIST,10,cuda,1,24.26985764503479,0.0008752231110581,4.813727110819892e-05,98.58,0.0003929579704772,0.0004036003373728,7.866480320804007e-05
MNIST,10,cuda,1,23.29597878456116,0.0008391746737054,4.61546070538015e-05,98.58,0.0003762014762387,0.0003874648615297,7.550833593703014e-05
MNIST,10,cuda,1,23.749348163604736,0.0008555625671922,4.70559411955748e-05,98.38,0.000383047065604,0.0003955379473954,7.697755419275002e-05
MNIST,10,cuda,1,22.759230613708496,0.0008210096572129,4.515553114671084e-05,98.7,0.0003686944874553,0.0003785451166877,7.377005306982132e-05
MNIST,10,cuda,1,24.82557487487793,0.0008936114668737,4.914863067805531e-05,98.61,0.0004023400579829,0.0004108055449108,8.046586398000386e-05
MNIST,10,cuda,1,23.211392164230347,0.0008335951819502,4.584773500726245e-05,98.47,0.0003735879894257,0.0003847729231238,7.523426940068209e-05
MNIST,10,cuda,1,21.96611905097961,0.0007899041455492,4.344472800521042e-05,98.78,0.0003557469698751,0.0003629588313998,7.11983442743419e-05
MNIST,10,cuda,1,21.9997353553772,0.0007929054442744,4.360979943509468e-05,98.37,0.0003558062415892,0.0003657921698987,7.13070327864898e-05
MNIST,10,cuda,1,23.14405369758606,0.0008331198268657,4.582159047761515e-05,98.7,0.0003731710352032,0.0003849325970673,7.50161945951183e-05
MNIST,10,cuda,1,21.97416996955872,0.0007927081140448,4.359894627246843e-05,98.66,0.0003555125444098,0.0003659711269503,7.12244426846913e-05
MNIST,10,cuda,1,22.764589309692383,0.0008186390404679,4.502514722573839e-05,98.63,0.0003675338040268,0.0003773178300225,7.378740641858713e-05
MNIST,10,cuda,1,22.72744727134705,0.0008174258557968,4.495842206882728e-05,98.58,0.0003681878964945,0.0003755722558279,7.366570347441741e-05
MNIST,10,cuda,1,22.65503168106079,0.0008160476954206,4.4882623248137454e-05,98.27,0.0003653133830838,0.0003773031050962,7.343120724058527e-05
MNIST,10,cuda,1,22.662956476211548,0.0008164196375607,4.490308006583921e-05,98.65,0.0003666304855263,0.0003763324993459,7.345665268839706e-05
MNIST,10,cuda,1,23.616660833358765,0.0008518391035076,4.685115069292285e-05,98.77,0.0003813348289565,0.0003939566849847,7.654758956641653e-05
MNIST,10,cuda,1,22.217882871627808,0.0007925956550485,4.359276102767186e-05,98.72,0.0003516542474342,0.0003689285261883,7.201288142596241e-05
